city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,marketing_consent,recency_days,frequency_180d,monetary_180d,return_rate_180d,avg_discount_pct_180d,avg_rating_180d,category_diversity_180d,ticket_count_90d,negative_ticket_rate_90d,avg_resolution_hours_90d,days_since_signup,sessions_30d,product_views_30d,cart_adds_30d,wishlist_adds_30d,abandoned_carts_30d,email_opens_30d,campaign_clicks_30d,last_visit_days_ago,actual,predicted,probability
0,0,5,3,2,1,24,1,371.61,0.0,0.45,4.0,1,1,0.0,3.4,48,10,56,3,1,2,3,1,15,1,0,0.21
2,3,5,0,5,1,57,6,3352.75,0.167,0.33,4.67,3,1,1.0,35.1,468,2,6,0,1,0,4,0,4,1,0,0.21
0,1,0,3,4,1,69,1,865.39,0.0,0.41,5.0,1,0,0.0,0.0,517,2,8,0,0,0,8,4,11,1,0,0.44
1,1,0,3,3,1,36,2,779.15,0.0,0.3,4.5,2,0,0.0,0.0,159,9,42,5,1,2,7,0,2,1,0,0.23
1,1,5,2,0,1,113,1,1730.51,0.0,0.26,5.0,1,0,0.0,0.0,338,1,5,0,0,0,3,1,4,1,0,0.495
1,1,5,3,4,0,15,1,424.64,0.0,0.55,5.0,1,1,1.0,1.0,20,6,21,3,1,1,0,0,22,1,0,0.43
0,1,1,3,3,0,91,1,348.68,0.0,0.34,5.0,1,0,0.0,0.0,129,9,27,5,2,2,0,0,9,1,0,0.455
0,2,2,0,4,1,77,1,260.56,0.0,0.4,5.0,1,0,0.0,0.0,350,12,36,4,1,1,5,2,20,1,0,0.41
1,0,0,3,3,1,77,2,2337.84,0.0,0.225,3.5,2,0,0.0,0.0,361,16,51,6,4,3,6,2,11,1,0,0.065
0,1,0,3,0,1,8,1,1014.02,0.0,0.35,3.0,1,0,0.0,0.0,573,13,43,2,4,1,8,1,12,1,0,0.185
