city_tier,age_group,acquisition_channel,loyalty_tier,preferred_category,marketing_consent,recency_days,frequency_180d,monetary_180d,return_rate_180d,avg_discount_pct_180d,avg_rating_180d,category_diversity_180d,ticket_count_90d,negative_ticket_rate_90d,avg_resolution_hours_90d,days_since_signup,sessions_30d,product_views_30d,cart_adds_30d,wishlist_adds_30d,abandoned_carts_30d,email_opens_30d,campaign_clicks_30d,last_visit_days_ago,actual,predicted,probability
1,2,3,2,0,1,151,1,729.22,0.0,0.25,4.0,1,0,0.0,0.0,216,0,0,0,0,0,0,0,33,0,1,0.94
0,1,4,0,4,1,81,1,493.88,0.0,0.36,5.0,1,0,0.0,0.0,556,0,0,0,0,0,0,0,17,0,1,0.57
0,0,1,3,4,1,133,2,1167.28,0.5,0.235,3.0,2,0,0.0,0.0,455,3,16,0,1,0,1,0,13,0,1,0.775
1,1,1,1,4,1,101,1,333.12,0.0,0.45,5.0,1,0,0.0,0.0,402,5,16,2,1,1,2,0,9,0,1,0.76
1,1,5,0,4,0,140,1,1013.03,0.0,0.33,4.0,1,0,0.0,0.0,261,2,5,1,0,0,0,0,20,0,1,0.885
0,2,4,3,2,1,71,2,1385.99,0.0,0.35,3.5,2,1,1.0,37.4,81,5,24,2,1,0,3,0,7,0,1,0.555
1,1,0,1,0,1,226,0,0.0,0.0,0.0,3.5,0,0,0.0,0.0,355,2,5,1,1,0,1,0,45,0,1,0.8
0,2,3,3,3,1,92,1,1102.94,0.0,0.28,2.0,1,0,0.0,0.0,403,3,14,1,1,1,4,2,20,0,1,0.645
1,1,1,3,4,1,118,1,385.7,0.0,0.0,5.0,1,0,0.0,0.0,510,8,39,3,2,1,0,0,31,0,1,0.795
2,2,0,2,1,0,107,2,1214.31,0.0,0.29,4.5,2,0,0.0,0.0,448,3,17,1,0,1,0,0,35,0,1,0.76
